iter	Passed	Remaining
0	1	111
1	1	73
2	1	58
3	2	52
4	2	47
5	2	45
6	3	42
7	3	40
8	3	40
9	4	38
10	4	36
11	4	36
12	5	35
13	5	33
14	5	33
15	6	32
16	6	31
17	6	30
18	7	30
19	7	29
20	7	28
21	8	28
22	8	27
23	8	27
24	8	26
25	9	26
26	9	25
27	9	25
28	10	24
29	10	24
30	10	24
31	11	23
32	11	23
33	11	22
34	12	22
35	12	22
36	12	21
37	13	21
38	13	20
39	13	20
40	14	20
41	14	19
42	14	19
43	14	18
44	15	18
45	15	18
46	15	17
47	16	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	17	14
55	18	14
56	18	14
57	18	13
58	19	13
59	19	12
60	19	12
61	19	12
62	20	11
63	20	11
64	20	11
65	21	10
66	21	10
67	21	10
68	21	9
69	22	9
70	22	9
71	22	8
72	22	8
73	23	8
74	23	7
75	23	7
76	24	7
77	24	6
78	24	6
79	24	6
80	25	5
81	25	5
82	25	5
83	25	4
84	26	4
85	26	4
86	26	3
87	26	3
88	27	3
89	27	3
90	27	2
91	27	2
92	28	2
93	28	1
94	28	1
95	29	1
96	29	0
97	29	0
98	29	0
99	30	0
