iter	Passed	Remaining
0	56	56868
1	57	28606
2	57	19172
3	58	14470
4	58	11640
5	59	9778
6	59	8442
7	59	7422
8	60	6621
9	60	5987
10	60	5463
11	61	5026
12	61	4664
13	61	4353
14	62	4084
15	62	3852
16	62	3641
17	63	3461
18	63	3291
19	64	3143
20	64	3006
21	64	2883
22	65	2770
23	65	2666
24	65	2571
25	66	2482
26	66	2400
27	66	2323
28	67	2250
29	67	2186
30	68	2125
31	68	2068
32	68	2014
33	69	1963
34	69	1914
35	69	1872
36	70	1832
37	70	1791
38	71	1750
39	71	1711
40	71	1677
41	72	1645
42	72	1614
43	72	1583
44	73	1554
45	73	1525
46	73	1498
47	74	1474
48	74	1448
49	75	1426
50	75	1405
51	75	1383
52	76	1362
53	76	1340
54	76	1320
55	77	1301
56	77	1285
57	78	1267
58	78	1250
59	78	1233
60	79	1217
61	79	1201
62	79	1185
63	79	1169
64	80	1158
65	80	1145
66	81	1131
67	81	1118
68	81	1105
69	82	1093
70	82	1081
71	83	1070
72	83	1060
73	83	1048
74	84	1037
75	84	1027
76	84	1017
77	85	1008
78	85	998
79	86	989
80	86	980
81	86	971
82	86	960
83	87	951
84	87	944
85	88	935
86	88	927
87	88	919
88	88	910
89	89	902
90	89	894
91	89	887
92	90	880
93	90	873
94	91	867
95	91	859
96	91	853
97	92	846
98	92	841
99	92	835
100	93	829
101	93	823
102	93	817
103	94	812
104	94	806
105	95	802
106	95	796
107	95	790
108	96	785
109	96	780
110	96	775
111	97	770
112	97	764
113	97	759
114	98	754
115	98	749
116	98	744
117	99	741
118	99	738
119	100	734
120	100	729
121	100	724
122	101	720
123	101	716
124	101	711
125	102	707
126	102	703
127	102	699
128	103	696
129	103	692
130	103	687
131	104	684
132	104	680
133	104	677
134	105	673
135	105	671
136	105	667
137	106	663
138	106	660
139	106	657
140	107	653
141	107	648
142	107	645
143	107	641
144	108	638
145	108	635
146	108	631
147	109	628
148	109	626
149	110	623
150	110	620
151	110	617
152	111	614
153	111	612
154	111	609
155	112	606
156	112	603
157	112	601
158	113	598
159	113	595
160	113	592
161	114	590
162	114	588
163	114	585
164	115	583
165	115	581
166	115	578
167	116	575
168	116	573
169	117	571
170	117	568
171	117	566
172	117	563
173	118	562
174	118	559
175	119	557
176	119	554
177	119	552
178	119	549
179	120	547
180	120	545
181	120	543
182	121	541
183	121	539
184	121	537
185	122	535
186	122	532
187	122	530
188	123	528
189	123	526
190	123	524
191	124	522
192	124	520
193	124	518
194	125	516
195	125	514
196	125	512
197	126	511
198	126	509
199	126	507
200	127	505
201	127	503
202	127	501
203	128	500
204	128	498
205	128	497
206	129	495
207	129	494
208	130	492
209	130	490
210	130	488
211	130	486
212	131	485
213	131	483
214	131	481
215	132	480
216	132	478
217	132	477
218	133	475
219	133	474
220	134	472
221	134	470
222	134	469
223	135	467
224	135	466
225	135	465
226	136	463
227	136	462
228	137	461
229	137	460
230	137	458
231	138	457
232	138	456
233	138	454
234	139	453
235	139	452
236	140	451
237	140	449
238	140	448
239	141	447
240	141	446
241	141	444
242	142	443
243	142	442
244	143	441
245	143	439
246	143	438
247	144	437
248	144	436
249	144	434
250	145	433
251	145	432
252	146	431
253	146	430
254	146	429
255	147	428
256	147	426
257	148	426
258	148	425
259	148	423
260	149	422
261	149	421
262	150	420
263	150	419
264	150	417
265	150	416
266	151	415
267	151	414
268	151	412
269	152	411
270	152	410
271	153	409
272	153	408
273	153	407
274	154	406
275	154	405
276	154	403
277	155	402
278	155	401
279	155	400
280	156	399
281	156	398
282	156	397
283	157	396
284	157	395
285	157	394
286	158	393
287	158	392
288	158	391
289	159	390
290	159	389
291	160	388
292	160	387
293	160	386
294	161	385
295	161	384
296	161	383
297	162	382
298	162	381
299	162	380
300	163	379
301	163	378
302	163	377
303	164	376
304	164	375
305	165	374
306	165	373
307	165	372
308	165	371
309	166	370
310	166	368
311	166	367
312	167	366
313	167	365
314	167	364
315	168	363
316	168	362
317	168	361
318	169	360
319	169	359
320	169	358
321	170	358
322	170	357
323	170	356
324	171	355
325	171	354
326	171	353
327	172	352
328	172	352
329	173	351
330	173	350
331	173	349
332	174	348
333	174	347
334	174	347
335	175	346
336	175	345
337	175	344
338	176	343
339	176	342
340	176	341
341	177	341
342	177	340
343	177	339
344	178	338
345	178	337
346	178	336
347	179	335
348	179	335
349	180	334
350	180	333
351	181	333
352	181	332
353	181	332
354	182	331
355	182	330
356	183	329
357	183	328
358	183	328
359	183	327
360	184	326
361	184	325
362	185	324
363	185	324
364	185	323
365	186	322
366	186	321
367	186	320
368	187	320
369	187	319
370	187	318
371	188	317
372	188	317
373	188	316
374	189	315
375	189	314
376	189	313
377	190	313
378	190	312
379	191	311
380	191	310
381	191	310
382	192	309
383	192	308
384	192	307
385	192	306
386	193	306
387	193	305
388	193	304
389	194	304
390	194	303
391	195	303
392	196	302
393	196	302
394	196	301
395	196	300
396	197	299
397	197	298
398	197	298
399	198	297
400	198	296
401	198	295
402	199	295
403	199	294
404	199	293
405	200	293
406	200	292
407	200	291
408	201	290
409	201	289
410	201	289
411	202	288
412	202	287
413	202	286
414	202	286
415	203	285
416	203	284
417	203	283
418	204	283
419	204	282
420	204	281
421	205	280
422	205	280
423	205	279
424	206	279
425	206	278
426	206	277
427	207	277
428	207	276
429	207	275
430	208	275
431	208	274
432	209	274
433	210	273
434	210	273
435	210	272
436	211	271
437	211	271
438	211	270
439	211	269
440	212	268
441	212	268
442	212	267
443	213	267
444	213	266
445	214	265
446	214	265
447	214	264
448	215	263
449	215	263
450	215	262
451	216	262
452	216	261
453	216	260
454	217	260
455	217	259
456	218	259
457	218	258
458	218	257
459	219	257
460	220	257
461	220	256
462	220	255
463	221	255
464	221	254
465	221	254
466	222	253
467	222	253
468	223	252
469	223	251
470	223	251
471	224	250
472	224	250
473	224	249
474	225	248
475	225	248
476	225	247
477	226	246
478	226	246
479	226	245
480	227	245
481	227	244
482	227	243
483	228	243
484	228	242
485	228	241
486	228	241
487	229	240
488	229	239
489	229	239
490	230	238
491	230	237
492	230	237
493	231	236
494	231	236
495	231	235
496	232	234
497	232	234
498	232	233
499	233	233
500	233	232
501	233	231
502	234	231
503	234	230
504	234	230
505	235	229
506	235	229
507	235	228
508	236	227
509	236	227
510	236	226
511	237	225
512	237	225
513	237	224
514	238	224
515	238	223
516	238	223
517	239	222
518	239	221
519	239	221
520	240	220
521	240	220
522	240	219
523	241	219
524	241	218
525	241	217
526	242	217
527	242	216
528	242	216
529	243	215
530	243	215
531	243	214
532	244	213
533	244	213
534	244	212
535	245	212
536	245	211
537	245	211
538	246	210
539	246	210
540	247	209
541	247	209
542	247	208
543	248	207
544	248	207
545	248	206
546	249	206
547	249	205
548	249	205
549	250	204
550	250	204
551	250	203
552	251	202
553	251	202
554	251	201
555	252	201
556	252	200
557	252	200
558	252	199
559	253	198
560	253	198
561	253	197
562	254	197
563	254	196
564	255	196
565	255	196
566	256	195
567	256	195
568	256	194
569	257	194
570	257	193
571	257	192
572	258	192
573	258	191
574	258	191
575	259	190
576	259	190
577	259	189
578	260	189
579	261	189
580	261	188
581	261	188
582	262	187
583	262	187
584	262	186
585	263	185
586	263	185
587	264	185
588	264	184
589	264	183
590	265	183
591	265	182
592	265	182
593	266	181
594	266	181
595	266	180
596	266	180
597	267	179
598	267	179
599	267	178
600	268	178
601	268	177
602	268	177
603	269	176
604	269	175
605	269	175
606	270	174
607	270	174
608	270	173
609	271	173
610	271	172
611	271	172
612	272	171
613	272	171
614	272	170
